business_id	day	close	open
5UmKMjUEUNdYWqANhGckJw	Friday	21:00	11:00
5UmKMjUEUNdYWqANhGckJw	Tuesday	21:00	11:00
5UmKMjUEUNdYWqANhGckJw	Thursday	21:00	11:00
5UmKMjUEUNdYWqANhGckJw	Wednesday	21:00	11:00
5UmKMjUEUNdYWqANhGckJw	Monday	21:00	11:00
HZdLhv6COCleJMo7nPl-RA	Monday	21:00	10:00
HZdLhv6COCleJMo7nPl-RA	Tuesday	21:00	10:00
HZdLhv6COCleJMo7nPl-RA	Friday	17:00	10:00
HZdLhv6COCleJMo7nPl-RA	Wednesday	21:00	10:00
HZdLhv6COCleJMo7nPl-RA	Thursday	17:00	10:00
HZdLhv6COCleJMo7nPl-RA	Sunday	18:00	11:00
HZdLhv6COCleJMo7nPl-RA	Saturday	21:00	10:00
mVHrayjG3uZ_RLHkLj-AMg	Tuesday	19:00	10:00
mVHrayjG3uZ_RLHkLj-AMg	Friday	20:00	10:00
mVHrayjG3uZ_RLHkLj-AMg	Wednesday	19:00	10:00
mVHrayjG3uZ_RLHkLj-AMg	Thursday	19:00	10:00
mVHrayjG3uZ_RLHkLj-AMg	Saturday	16:00	10:00
KayYbHCt-RkbGcPdGOThNg	Monday	02:00	11:00
KayYbHCt-RkbGcPdGOThNg	Tuesday	02:00	11:00
KayYbHCt-RkbGcPdGOThNg	Friday	02:00	11:00
KayYbHCt-RkbGcPdGOThNg	Wednesday	02:00	11:00
KayYbHCt-RkbGcPdGOThNg	Thursday	02:00	11:00
KayYbHCt-RkbGcPdGOThNg	Saturday	02:00	12:00
b12U9TFESStdy7CsTtcOeg	Monday	19:00	07:30
b12U9TFESStdy7CsTtcOeg	Tuesday	19:00	07:30
b12U9TFESStdy7CsTtcOeg	Friday	19:00	07:30
b12U9TFESStdy7CsTtcOeg	Wednesday	19:00	07:30
b12U9TFESStdy7CsTtcOeg	Thursday	19:00	07:30
b12U9TFESStdy7CsTtcOeg	Saturday	16:00	07:30
